,day,open,high,low,close,volume
2019-12-31,2019-12-31,2874.448,3051.677,2857.32,3050.124,412769491100
2020-03-31,2020-03-31,2899.31,3074.257,2646.805,2750.296,698947474000
2020-06-30,2020-06-30,2871.964,2990.825,2871.964,2984.674,469981968500
2020-09-30,2020-09-30,3389.742,3425.629,3202.344,3218.052,490622905000
2020-12-31,2020-12-31,3388.987,3474.918,3325.172,3473.069,644514554300
2021-03-31,2021-03-31,3531.48,3577.622,3328.312,3441.912,744063126300
2021-06-30,2021-06-30,3608.598,3629.29,3503.183,3591.197,668364524800
2021-09-30,2021-09-30,3543.866,3723.845,3514.674,3568.167,1072908158400
2021-12-31,2021-12-31,3561.886,3708.942,3558.691,3639.775,863871281300
2022-03-31,2022-03-31,3471.365,3500.287,3023.305,3252.203,870200597100
2022-06-30,2022-06-30,3179.695,3417.009,3160.04,3398.616,873938770800
2022-09-30,2022-09-30,3196.537,3278.166,3021.931,3024.391,549015589800
2022-12-31,2022-12-30,3187.99,3226.082,3031.536,3089.258,614033199800
2023-03-31,2023-03-31,3279.136,3342.859,3216.993,3272.86,724715520600
2023-06-30,2023-06-30,3196.155,3276.552,3144.248,3202.062,590465837800
2023-09-30,2023-09-28,3126.023,3177.06,3078.801,3110.475,526138945700
2023-12-31,2023-12-29,3027.353,3038.979,2882.02,2974.935,605856445100
2024-03-31,2024-03-29,3013.823,3090.051,2984.12,3041.167,772070297200
2024-06-30,2024-06-28,3085.981,3097.204,2933.33,2967.403,570135119100
2024-09-30,2024-09-30,2832.35,3358.588,2689.695,3336.497,694997327400
2024-12-31,2024-10-18,3674.405,3674.405,3152.821,3261.563,668170695000
